reward_trajectory_1,reward_trajectory_2,reward_trajectory_3,reward_trajectory_4,reward_trajectory_5,reward_trajectory_6,timestep,actor_loss,critic_loss
-110.84159613196928,-110.9813928759057,-110.95321434343245,-111.2531507271085,-110.84628953749504,-110.86056510071317,0,0.1685696393251419,12.280145645141602
-105.85313739113944,-105.81071781290943,-105.85336399672119,-105.68693858930096,-105.98886364660598,-106.00221577764427,400,0.6004471182823181,10.04537296295166
-106.83867491316703,-107.18277160143107,-106.73530999083071,-106.966075363252,-107.01229345182422,-106.57764570761037,600,1.0742895603179932,7.685146808624268
-130.43637588694787,-131.8964472241189,-68.85724234065233,-69.32442669932412,-130.18371009827388,-129.91552323488628,800,1.6160199642181396,6.105879783630371
-99.6232886242407,-97.92975677116712,-101.17269176606958,-99.29235808485444,-97.65395624781975,-99.64191088700605,1000,2.2120087146759033,4.227273464202881
-114.90178512075605,-113.7197881242993,-114.90686609246086,-114.90977445894417,-114.64714256259923,-114.64554797911892,1200,2.7375781536102295,3.1663401126861572
-109.76734193505844,-106.14474486744156,-106.63468719970606,-106.51969869934892,-90.15015221958467,-106.67462727552963,1400,3.0530827045440674,1.8126721382141113
-108.45154272893319,-108.46521836444921,-108.68577297558076,-108.44372466718468,-108.69053271610755,-108.78155729146643,1600,2.961909532546997,1.011254906654358
-110.47806099420849,-110.50362358561112,-111.95600636461967,-111.42117942857308,-116.01386814771406,-109.52758953051331,1800,2.709155797958374,0.5070396065711975
-107.15401381031393,-107.10701292921439,-107.06461473887042,-107.04131746555329,-107.11288463902955,-107.05638484717122,2000,2.369879722595215,0.49841123819351196
-110.14199841933325,-109.31046557759207,-109.26287131239783,-110.07971091224626,-109.31532044358956,-109.34412937607429,2200,2.0881094932556152,0.7228689193725586
-106.31726491577179,-106.24492647392861,-106.3908763954118,-106.2647096471088,-106.3723132760208,-106.2606297866109,2400,1.9647300243377686,1.043300986289978
-106.18235451690666,-106.16599614766986,-106.13460621888905,-106.14256224646496,-106.15446065458524,-106.02730471290292,2600,1.8540148735046387,1.4077963829040527
-108.84243531207989,-108.88622716213887,-110.25095546409364,-110.1738105135113,-110.27532068286898,-108.8279682334227,2800,1.9265060424804688,1.3472568988800049
-106.78911091754338,-106.79584666179555,-106.76280692114867,-106.75373321483532,-107.322926243168,-110.54323576479499,3000,2.003694772720337,1.1833230257034302
-111.73440842688798,-109.00725217469967,-108.92400122243322,-109.00703475555171,-108.90623328583338,-111.80020156736393,3200,2.1586878299713135,0.9407117366790771
-109.40486820087457,-107.47837845944862,-110.83101744775746,-110.84727078821479,-110.9690087201229,-110.86741619205102,3400,2.249673366546631,0.520963728427887
-109.6130895226691,-109.6276999236606,-110.29024876971667,-109.62235638463994,-110.63509143171436,-110.83114525437882,3600,2.274303913116455,0.3325366973876953
-111.55329185744068,-111.78076297491953,-111.55832211636627,-109.51254463842946,-112.04786755850117,-111.78187278221182,3800,2.357543706893921,0.1830371916294098
-36.6943356560278,-144.13459112310886,-129.18050971176575,-115.03288123602078,-118.55128269358406,-64.52454473405682,4000,2.316673517227173,0.13312102854251862
-110.20055748502158,-111.80535088266774,-111.8289683550233,-110.23246508983057,-110.22950291036814,-111.68822869523117,4200,2.1287035942077637,0.16953808069229126
-113.0078936011608,-114.45156034999582,-114.70429025348463,-114.58055050399776,-114.52250805527625,-114.20990496561626,4400,2.1127548217773438,0.26132288575172424
-121.3318661356958,-121.12100096248741,-118.38199368684522,-117.42599578968311,-96.1976171625955,-114.16999315883623,4600,2.086716651916504,0.28346437215805054
-93.23798693323586,-96.44907024720094,-109.25789562214904,-94.7693254531417,-109.28449352401712,-93.48328980086923,4800,2.008984088897705,0.3485289216041565
-106.158037952881,-105.56698203084945,-105.75324024316514,-105.66289356552728,-105.67622709205064,-105.41390316824429,5000,2.1253974437713623,0.3526737093925476
-105.76071019631841,-105.4158360945064,-105.51825405799582,-106.41420570885639,-106.39189720036462,-106.46437058228999,5000,2.1822681427001953,0.3749057948589325
