reward_trajectory_1,reward_trajectory_2,reward_trajectory_3,reward_trajectory_4,reward_trajectory_5,reward_trajectory_6,timestep,actor_loss,critic_loss
-99.80587062212568,-100.15009929052391,-100.41825764821657,-100.01769757333032,-100.45258867586823,-100.4697848128754,0,0.25750449299812317,43.393272399902344
-110.87888248929536,-112.02283450520272,-134.38355707793107,-112.02201500984327,-111.99882533375703,-112.04236125549457,5000,0.7912043929100037,38.446922302246094
-66.66668817085858,-80.30544972495046,-77.58910133982806,-72.244238372957,-78.74204874883189,-62.77326030759078,7500,1.4134128093719482,33.657615661621094
-100.050787679237,-100.0583471298028,-98.66217139335846,-99.02146282628799,-100.1379621941973,-100.39977541154127,10000,2.1904191970825195,29.064624786376953
-53.21004505915753,-54.866682500498904,-57.19025801136612,-33.59367648368134,-32.71364205205158,-34.58563532803466,12500,3.153940200805664,24.66533660888672
-138.59777129055416,-117.3789136673032,-91.28922572043898,-99.12825635430727,-104.01644685066972,-102.67400581520867,15000,4.285003662109375,20.34430694580078
-77.85976149679182,-89.5073440308204,-96.09602292091851,-107.33136817902785,-94.30850756276783,-87.1729878377766,17500,5.419321537017822,16.042884826660156
-119.67206001802853,-113.80621889054123,-112.81828359476835,-139.16674749428577,-140.81993517567133,-139.63016173878884,20000,6.086857795715332,11.731258392333984
-86.31851555041857,-83.2109583453055,-90.40148333599547,-89.1950077275499,-77.3169394094396,-91.1148655234816,22500,6.066437244415283,7.908364295959473
-106.50126310805169,-107.21223161804303,-106.04956638803613,-106.95785231725995,-106.57434517411266,-106.82214063851225,25000,5.652858257293701,4.573538303375244
-109.26034799589837,-109.2483249334637,-106.41576216409743,-109.25913222880848,-109.89286580848695,-109.7699528986495,27500,5.100811004638672,2.0187106132507324
-112.50772444698556,-112.03581665029128,-121.938976829942,-113.6101478688571,-117.18542463692987,-115.57656088306258,30000,4.600035190582275,0.5717920064926147
-113.76439540122325,-119.66983233347932,-114.75557422617574,-117.18646458237245,-115.48685865693353,-114.70049748574198,32500,4.234357833862305,0.39778411388397217
-116.47346995373645,-42.381011000645195,-10.22984440913379,-106.75291514252933,-75.29470737490243,-76.2431743410804,35000,4.003172874450684,1.4211149215698242
-116.6760694877361,-50.59366311924499,-81.45832848493133,-96.53546341708412,-12.775503194050799,-25.094877594186173,37500,3.9239721298217773,3.0679733753204346
-109.94952356168938,-108.92746787817248,-108.78080235354602,-110.14027204043077,-111.75571751456522,-109.31728829405084,40000,3.9931423664093018,4.396589279174805
-63.79745608477504,-61.625244195604424,-70.81329168311723,-106.78230883546422,-103.41062332665611,-108.61478673520001,42500,4.1653852462768555,4.961455345153809
-126.83328601204728,-107.23300174696526,-107.25591741571638,-107.03588773882514,-108.11834339906895,34.95240373745722,45000,4.399354457855225,4.662430286407471
-95.22492877464555,-97.48031064297088,-93.72267182779467,-105.77840828022671,-46.552678503799676,-68.86858464677135,47500,4.6473774909973145,3.7595694065093994
-100.08772971612339,-100.82736278426833,-60.521920385760716,-104.18973911685622,-103.86634535429192,-101.03513738788894,50000,4.862783432006836,2.553532600402832
-109.57832468980659,-109.14987809736033,-107.87031555344382,-106.33103462769851,-109.83516383402282,-107.9209862956563,52500,4.997661590576172,1.544252872467041
-98.5690177187686,-56.42532777912635,-99.4163040495937,-78.17952566393264,-71.26647772093146,-102.0616792897606,55000,5.016937732696533,0.7799303531646729
-104.39517913421895,-105.76401054350714,-104.73289987940838,-105.78589711201998,-108.25817749031998,-103.9964283121458,57500,4.976866245269775,0.3554857075214386
-111.25579466113138,-25.933445818073693,-104.65764458836608,-106.2527176329152,-69.65333016820556,-1.9505425322826397,60000,4.825759410858154,0.18722373247146606
