reward_trajectory_1,reward_trajectory_2,reward_trajectory_3,reward_trajectory_4,reward_trajectory_5,reward_trajectory_6,timestep,actor_loss,critic_loss
37.44344154642091,37.36430473358159,38.14959350723415,37.28730589995735,36.97764790692135,37.90817837978444,0,0.2744067907333374,28.526697158813477
40.2942323822858,39.20749996114177,38.45741895144419,38.6513700281302,38.769205569217895,40.35893584510706,1500,0.7293083667755127,25.3858699798584
125.25056593095086,119.78744981285053,138.35599128860284,129.1448527384353,124.24623986267191,126.79468254126891,2500,1.2164181470870972,22.270931243896484
3.8796692831488455,4.607398037917734,3.993110934470948,4.127827052867174,4.249669564461705,3.8643958951037085,3500,1.7816516160964966,19.986257553100586
21.157282661597815,18.119730267560296,26.464232001680394,19.839221020519606,24.06749243441153,22.371274155381766,4500,2.4513590335845947,16.67727279663086
9.03912994631417,9.191155218455485,9.057969997045536,9.063654942716601,8.788685930943464,8.580811314017856,5500,3.1142969131469727,13.77524185180664
58.65860150758009,52.70625833161499,55.26731010481385,55.14072979318487,53.91299794966292,60.33295744768546,6500,3.8197526931762695,11.388053894042969
172.99530230101303,186.57079230116113,188.46170129395767,174.79112025656673,184.64572747481952,185.0402664843575,7500,4.49407434463501,9.020476341247559
204.4973915474043,208.23842030486088,210.13181790309835,203.36974165275882,207.53545105615586,204.35083833320962,8500,4.801696300506592,6.573856830596924
80.48990526621027,70.34649017869664,215.9478311999793,174.9424533785093,224.0126492580486,212.95842999085102,9500,4.903120040893555,4.406644821166992
122.56425779346313,134.14799112347777,115.47670939402956,151.27474382308966,138.5841753070971,167.3315747638188,10500,4.770481109619141,2.770015001296997
1021.4009533841682,1023.5850243528153,1022.8319461982795,1022.5791993579893,1024.7294499817588,1018.2638638299028,11500,4.5188164710998535,1.4908714294433594
55.12993128390044,55.41360663991046,54.90195940515903,55.378576585291555,55.40116485930374,54.802354296625595,12500,4.196044921875,0.5787224769592285
234.03435704369744,427.9237392551195,404.3905572719866,377.0449666188943,421.58692948641664,232.0769369123252,13500,3.8960626125335693,0.22734594345092773
