reward_trajectory_1,reward_trajectory_2,reward_trajectory_3,reward_trajectory_4,reward_trajectory_5,reward_trajectory_6,timestep,actor_loss,critic_loss
-20.179565208621568,-19.957097930328988,-20.060860175295108,-20.28916365266145,-20.29741761148958,-20.287796567923614,0,0.13386353850364685,15.278209686279297
-179.65783764931996,-179.67878557281364,-179.67287991897783,-179.6596645665269,-179.6702419365589,-179.65035759270964,400,0.538020133972168,13.047693252563477
-104.85424295323337,-124.48652164081639,-104.85776174875922,-124.48328290102754,-124.28722138176828,-124.45252118482566,600,0.9841833114624023,10.812103271484375
-158.7684342400328,-136.8361523815134,-136.11485772431672,-135.69058811321983,-158.76585557413947,-134.95698787031193,800,1.488701581954956,8.791481971740723
-110.1144804082848,-110.17160611338727,-110.06066668679193,-110.14013856444569,-110.18129064056588,-110.07316162312031,1000,2.103156805038452,7.005196571350098
-116.54323865344375,-117.58734280394495,-117.30647142756791,-117.57040006924359,-116.26826672071715,-116.7252009142739,1200,2.7800891399383545,5.599224090576172
-116.99578986370067,-117.91374199197178,-117.86903575648802,-117.917323971057,-117.85163317767883,-117.01671364872686,1400,3.350433349609375,4.063851356506348
-108.82290987222952,-111.08270263024357,-111.11993174395151,-109.41180179274019,-109.41384787333197,-107.32255599283862,1600,3.5688281059265137,2.6874871253967285
-108.4043471749141,-108.70124068699094,-106.22261741185996,-108.4143877517775,-108.70609718197352,-110.73543683783649,1800,3.482800006866455,1.6753947734832764
-108.7313365289128,-108.78714597029364,-108.72169489326949,-108.78069420592176,-108.7937983050663,-108.75858406858208,2000,3.1638498306274414,1.0025417804718018
-107.93529277869935,-108.45637659706959,-107.68175921366674,-107.67516989790276,-110.03019155505812,-108.45945506427304,2200,2.861583709716797,0.7840285301208496
-118.3917854715477,-106.26116454772489,-122.31242939347568,-110.17139003621539,-118.65037814912169,-120.96383323491924,2400,2.5918354988098145,1.0012857913970947
-122.63279183150087,-118.51041009899271,-125.00494561167496,-121.32627853500105,-126.54967285170966,-120.39475255338405,2600,2.3898186683654785,1.2264974117279053
-117.07272734322648,-114.1649298763342,-115.50444991606753,-115.67364993754836,-115.90956375609431,-113.38627676462148,2800,2.3378384113311768,1.6642253398895264
-105.67843954329099,-105.6577060876141,-105.63668014597675,-105.64223637977678,-105.64371831956662,-105.63062360722074,3000,2.4032793045043945,1.612725019454956
-106.94337034393722,-106.94951633133304,-106.84225543590698,-106.93408116901914,-106.86293184257299,-106.94980778708432,3200,2.501321315765381,1.460099458694458
-108.34001705289259,-108.7826897886147,-108.50161137276018,-108.93059233121078,-110.57596084436247,-109.9882851101363,3400,2.5266025066375732,1.4369288682937622
-108.77565953616504,-110.17778891455103,-109.5173537422566,-113.98599504364499,-108.78003545940015,-111.17950960397658,3600,2.7139480113983154,0.9588916301727295
-107.8904274815172,-108.11086733338982,-107.91284022892452,-108.0655750820165,-107.90747306961504,-107.91212525739707,3800,2.8885209560394287,0.9398220777511597
-107.86772497561853,-107.7945109293734,-107.83544789271204,-107.85330658215005,-107.80150221820004,-107.76159908322005,4000,2.9417130947113037,0.3790186941623688
-106.72636839497446,-106.7192995880586,-106.37673223818342,-106.42219040115737,-106.05932029982874,-106.03447720455829,4200,2.93166446685791,0.2726234197616577
-107.76335231855512,-107.46538218440178,-107.45606397358515,-107.40851577864649,-107.29411411497307,-107.44819019314087,4400,2.9450159072875977,0.21308660507202148
-107.01207052497628,-107.06030945640919,-107.03539708001955,-107.0405607953396,-107.0426021561756,-107.02780523800973,4600,2.8509786128997803,0.2937624454498291
-107.63156779798989,-107.5841138222764,-107.6544377531223,-107.68943446220271,-107.69307142230682,-107.71630009900282,4800,2.7435710430145264,0.3454049825668335
-106.46077432163331,-107.03314101786476,-106.98230920230318,-106.49403524775803,-106.50818447204897,-106.3872985023583,5000,2.7199254035949707,0.3879939317703247
-106.55391089215937,-106.93006501045171,-107.03221083711709,-106.26326396879615,-106.78114240160119,-106.80891929137366,5000,2.727872371673584,0.45199838280677795
